Model,Description,Prefix,Design,Size
1007J,"Plate, 6-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1007,,
1007TB,"Plate, 6-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",1007,,
1007TP,"Plate, 6-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",1007,,
1007TR,"Plate, 6-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",1007,,
1007TW,"Plate, 6-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",1007,,
1008AR,"Plate, 7-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",1008,,
1008BB,"Plate, 7-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1008,,
1008DL,"Plate, 7-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",1008,,
1008J,"Plate, 7-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1008,,
1008TB,"Plate, 7-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",1008,,
1008TP,"Plate, 7-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",1008,,
1008TR,"Plate, 7-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",1008,,
1008TW,"Plate, 7-7/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",1008,,
1009AR,"Plate, 9-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",1009,,
1009BB,"Plate, 9-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1009,,
1009DL,"Plate, 9-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",1009,,
1009J,"Plate, 9-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1009,,
1009TB,"Plate, 9-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",1009,,
1009TP,"Plate, 9-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",1009,,
1009TR,"Plate, 9-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",1009,,
1009TW,"Plate, 9-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",1009,,
1010AR,"Plate, 10-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",101,,
1010BB,"Plate, 10-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",101,,
1010DL,"Plate, 10-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",101,,
1010J,"Plate, 10-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",101,,
1010TB,"Plate, 10-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",101,,
1010TP,"Plate, 10-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",101,,
1010TR,"Plate, 10-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",101,,
1010TW,"Plate, 10-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",101,,
1012AR,"Plate, 11-3/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",101,,
1012BB,"Plate, 11-3/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",101,,
1012DL,"Plate, 11-3/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",101,,
1012J,"Plate, 11-3/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",101,,
1012TB,"Plate, 11-3/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",101,,
1012TP,"Plate, 11-3/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",101,,
1012TR,"Plate, 11-3/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",101,,
1012TW,"Plate, 11-3/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",101,,
1013AR,"Plate, 12-5/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",101,,
1013DL,"Plate, 12-5/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",101,,
1013TB,"Plate, 12-5/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",101,,
1013TP,"Plate, 12-5/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",101,,
1013TR,"Plate, 12-5/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",101,,
1013TW,"Plate, 12-5/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",101,,
1014AR,"Plate, 14-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",101,,
1014BB,"Plate, 14-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",101,,
1014DL,"Plate, 14-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",101,,
1014J,"Plate, 14-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",101,,
1014TB,"Plate, 14-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",101,,
1014TP,"Plate, 14-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",101,,
1014TR,"Plate, 14-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",101,,
1014TW,"Plate, 14-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",101,,
1015AR,"Plate, 14-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",101,,
1015DL,"Plate, 14-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",101,,
1015TB,"Plate, 14-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",101,,
1015TP,"Plate, 14-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",101,,
1015TR,"Plate, 14-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",101,,
1015TW,"Plate, 14-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",101,,
1016AR,"Plate, 15-1/2"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",101,,
1016DL,"Plate, 15-1/2"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",101,,
1016TB,"Plate, 15-1/2"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",101,,
1016TP,"Plate, 15-1/2"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",101,,
1016TR,"Plate, 15-1/2"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",101,,
1016TW,"Plate, 15-1/2"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",101,,
102.8AR,"Sauce Dish, 2 oz., 3-1/2"" dia., break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF (5 dozen minimum order)",102,,
102.8BB,"Sauce Dish, 2 oz., 3-1/2"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF (5 dozen minimum order)",102,,
102.8DL,"Sauce Dish, 2 oz., 3-1/2"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF (5 dozen minimum order)",102,,
102.8J,"Sauce Dish, 2 oz., 3-1/2"" dia., break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF (5 dozen minimum order)",102,,
102.8TB,"Sauce Dish, 2 oz., 3-1/2"" dia., break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF (5 dozen minimum order)",102,,
102.8TP,"Sauce Dish, 2 oz., 3-1/2"" dia., break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF (5 dozen minimum order)",102,,
102.8TR,"Sauce Dish, 2 oz., 3-1/2"" dia., break-resistant, dishwasher safe, melamine, longevity, BPA free, NSF (5 dozen minimum order)",102,,
102.8TW,"Sauce Dish, 2 oz., 3-1/2"" dia., break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF (5 dozen minimum order)",102,,
1035BB,"Side Dish, 6 oz., 3-3/8"", break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF (2 dozen minimum order)",1035B,,
1035J,"Vegetable Dish, 6 oz., 3-3/8"", square with rounded corners, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF (2 dozen minimum order)",,,
1036BB,"Dish, 3 oz., break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF (2 dozen minimum order)",1036,,
1036J,"Dish, 3 oz., break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF (2 dozen minimum order)",1036,,
1101AR,"Sauce Dish, 1 oz., 2-3/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF (5 dozen minimum order)",1101,,
1101DL,"Sauce Dish, 1 oz., 2-3/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF (5 dozen minimum order)",1101,,
1101JBR,"Sauce Dish, 1 oz., 2-3/4"" dia., break-resistant, dishwasher safe, BPA free, two-tone, melamine, red/black, NSF (5 dozen minimum order)",1101,,
1101TB,"Sauce Dish, 1 oz., 2-3/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF (5 dozen minimum order)",1101,,
1101TP,"Sauce Dish, 1 oz., 2-3/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF (5 dozen minimum order)",1101,,
1101TR,"Sauce Dish, 1 oz., 2-3/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF (5 dozen minimum order)",1101,,
1101TW,"Sauce Dish, 1 oz., 2-3/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF (5 dozen minimum order)",1101,,
1102AR,"Twin Sauce Dish, 2 oz., 3-3/8"" x 2-3/4"", 2-wells, rectangular, break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF (2 dozen minimum order)",1102,,
1102DL,"Twin Sauce Dish, 2 oz., 3-3/8"" x 2-3/4"", 2-wells, rectangular, break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF (2 dozen minimum order)",1102,,
1102TB,"Twin Sauce Dish, 2 oz., 3-3/8"" x 2-3/4"", 2-wells, break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF (2 dozen minimum order)",1102,,
1102TP,"Twin Sauce Dish, 2 oz., 3-3/8"" x 2-3/4"", 2-wells, rectangular, break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF (2 dozen minimum order)",1102,,
1102TR,"Twin Sauce Dish, 2 oz., 3-3/8"" x 2-3/4"", 2-wells, rectangular, break-resistant, dishwasher safe, melamine, longevity, BPA free, NSF (2 dozen minimum order)",1102,,
1102TW,"Twin Sauce Dish, 2 oz., 3-3/8"" x 2-3/4"", 2-wells, rectangular, break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF (2 dozen minimum order)",1102,,
1106AR,"Soup Plate, 3 oz., 6"" dia., break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",1106,,
1106DL,"Soup Plate, 3 oz., 6"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",1106,,
1106TB,"Soup Plate, 3 oz., 6"" dia., break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",1106,,
1106TP,"Soup Plate, 3 oz., 6"" dia., break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",1106,,
1106TR,"Soup Plate, 3 oz., 6"" dia., break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",1106,,
1106TW,"Soup Plate, 3 oz., 6"" dia., break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",1106,,
1107AR,"Soup Plate, 5 oz., 7"" dia., break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",1107,,
1107DL,"Soup Plate, 5 oz., 7"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",1107,,
1107TB,"Soup Plate, 5 oz., 7"" dia., break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",1107,,
1107TP,"Soup Plate, 5 oz., 7"" dia., break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",1107,,
