Model,Description,Prefix,Design,Size
CMEP1460,"Wire Shelving, 14"" x 60"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP1472,"Wire Shelving, 14"" x 72"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP1824,"Wire Shelving, 18"" x 24"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP1830,"Wire Shelving, 18"" x 30"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP1836,"Wire Shelving, 18"" x 36"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP1842,"Wire Shelving, 18"" x 42"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP1848,"Wire Shelving, 18"" x 48"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP1854,"Wire Shelving, 18"" x 54"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP1860,"Wire Shelving, 18"" x 60"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP1872,"Wire Shelving, 18"" x 72"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2124,"Wire Shelving, 21"" x 24"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2130,"Wire Shelving, 21"" x 30"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2136,"Wire Shelving, 21"" x 36"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2142,"Wire Shelving, 21"" x 42"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2148,"Wire Shelving, 21"" x 48"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2154,"Wire Shelving, 21"" x 54"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2160,"Wire Shelving, 21"" x 60"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2172,"Wire Shelving, 21"" x 72"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2424,"Wire Shelving, 24"" x 24"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2430,"Wire Shelving, 24"" x 30"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2436,"Wire Shelving, 24"" x 36"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2442,"Wire Shelving, 24"" x 42"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2448,"Wire Shelving, 24"" x 48"", 850 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2454,"Wire Shelving, 24"" x 54"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2460,"Wire Shelving, 24"" x 60"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMEP2472,"Wire Shelving, 24"" x 72"", 600 lb. capacity, with 4 sets of sleeve clips, heavy duty, epoxy coated, green, NSF (2 each minimum order)",CMEP,,
CMPC008,"Shelving Post, 8""H, with leveling foot, heavy duty, chrome finish, NSF (4 each minimum order)",CMP,,
CMPC034,"Shelving Post, 34""H, with leveling foot, heavy duty, chrome finish, NSF (4 each minimum order)",CMP,,
CMPC063,"Shelving Post, 63""H, with leveling foot, heavy duty, chrome finish, NSF (4 each minimum order)",CMP,,
CMPC072,"Shelving Post, 74""H, with leveling foot, heavy duty, chrome finish, NSF (4 each minimum order)",CMP,,
CMPC086,"Shelving Post, 86""H, with leveling foot, heavy duty, chrome finish, NSF (4 each minimum order)",CMP,,
CMSV1424,"Wire Shelving, 14"" x 24"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1430,"Wire Shelving, 14"" x 30"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1436,"Wire Shelving, 14"" x 36"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1448,"Wire Shelving, 14"" x 48"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1460,"Wire Shelving, 14"" x 60"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1472,"Wire Shelving, 14"" x 72"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1824,"Wire Shelving, 18"" x 24"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1830,"Wire Shelving, 18"" x 30"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1836,"Wire Shelving, 18"" x 36"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1842,"Wire Shelving, 18"" x 42"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1848,"Wire Shelving, 18"" x 48"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1854,"Wire Shelving, 18"" x 54"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1860,"Wire Shelving, 18"" x 60"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV1872,"Wire Shelving, 18"" x 72"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2124,"Wire Shelving, 21"" x 24"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2130,"Wire Shelving, 21"" x 30"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2136,"Wire Shelving, 21"" x 36"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2142,"Wire Shelving, 21"" x 42"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2148,"Wire Shelving, 21"" x 48 , chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2154,"Wire Shelving, 21"" x 54"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2160,"Wire Shelving, 21"" x 60"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2172,"Wire Shelving, 21"" x 72"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2424,"Wire Shelving, 24"" x 24"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2430,"Wire Shelving, 24"" x 30"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2436,"Wire Shelving, 24"" x 36"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2442,"Wire Shelving, 24"" x 42"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2448,"Wire Shelving, 24"" x 48"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2454,"Wire Shelving, 24"" x 54"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2460,"Wire Shelving, 24"" x 60"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CMSV2472,"Wire Shelving, 24"" x 72"", chrome plated finish, NSF (2 each minimum order)",CMS,,
CR005BU,"Plate, 5-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, purple, NSF",CR0,,
CR005GR,"Plate, 5-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, green, NSF",CR0,,
CR005PR,"Plate, 5-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, pure red, NSF",CR0,,
CR005RD,"Plate, 5-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, orange, NSF",CR0,,
CR005V,"Plate, 5-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, ivory, NSF",CR0,,
CR005W,"Plate, 5-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, white, NSF",CR0,,
CR005YW,"Plate, 5-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, yellow, NSF",CR0,,
CR006BU,"Plate, 6-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, purple, NSF",CR0,,
CR006GR,"Plate, 6-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, green, NSF",CR0,,
CR006PR,"Plate, 6-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, pure red, NSF",CR0,,
CR006RD,"Plate, 6-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, orange, NSF",CR0,,
CR006V,"Plate, 6-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, ivory, NSF",CR0,,
CR006W,"Plate, 6-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, white, NSF",CR0,,
CR006YW,"Plate, 6-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, yellow, NSF",CR0,,
CR007BU,"Plate, 7-5/8"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, purple, NSF",CR0,,
CR007GR,"Plate, 7-5/8"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, green, NSF",CR0,,
CR007PR,"Plate, 7-5/8"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, pure red, NSF",CR0,,
CR007RD,"Plate, 7-5/8"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, orange, NSF",CR0,,
CR007V,"Plate, 7-5/8"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, ivory, NSF",CR0,,
CR007W,"Plate, 7-5/8"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, white, NSF",CR0,,
CR007YW,"Plate, 7-5/8"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free, melamine, yellow, NSF",CR0,,
CR009BU,"Plate, 9-1/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, purple, NSF",CR0,,
CR009GR,"Plate, 9-1/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, green, NSF",CR0,,
CR009PR,"Plate, 9-1/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, pure red, NSF",CR0,,
CR009RD,"Plate, 9-1/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, orange, NSF",CR0,,
CR009V,"Plate, 9-1/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, ivory, NSF",CR0,,
CR009W,"Plate, 9-1/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, white, NSF",CR0,,
CR009YW,"Plate, 9-1/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, yellow, NSF",CR0,,
CR010BU,"Plate, 10-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, purple, NSF",CR0,,
CR010GR,"Plate, 10-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, green, NSF",CR0,,
CR010PR,"Plate, 10-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, pure red, NSF",CR0,,
CR010RD,"Plate, 10-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, orange, NSF",CR0,,
CR010V,"Plate, 10-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, ivory, NSF",CR0,,
CR010W,"Plate, 10-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, white, NSF",CR0,,
CR010YW,"Plate, 10-1/2"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, yellow, NSF",CR0,,
CR012BU,"Plate, 11-3/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, purple, NSF",CR0,,
CR012GR,"Plate, 11-3/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, green, NSF",CR0,,
CR012PR,"Plate, 11-3/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, pure red, NSF",CR0,,
CR012RD,"Plate, 11-3/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, orange, NSF",CR0,,
CR012V,"Plate, 11-3/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, ivory, NSF",CR0,,
CR012W,"Plate, 11-3/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, white, NSF",CR0,,
CR012YW,"Plate, 11-3/4"" dia., round, wide rim, break-resistant, dishwasher safe, BPA free,  melamine, yellow, NSF",CR0,,
CR106BU,"Plate, 6-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, purple, NSF",CR1,,
CR106GR,"Plate, 6-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, green, NSF",CR1,,
CR106PR,"Plate, 6-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, pure red, NSF",CR1,,
CR106RD,"Plate, 6-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, orange, NSF",CR1,,
CR106V,"Plate, 6-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, ivory, NSF",CR1,,
CR106W,"Plate, 6-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, white, NSF",CR1,,
CR106YW,"Plate, 6-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, yellow, NSF",CR1,,
CR107BU,"Plate, 7-1/4"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, purple, NSF",CR1,,
CR107GR,"Plate, 7-1/4"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, green, NSF",CR1,,
CR107PR,"Plate, 7-1/4"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, pure red, NSF",CR1,,
CR107RD,"Plate, 7-1/4"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, orange, NSF",CR1,,
CR107V,"Plate, 7-1/4"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, ivory, NSF",CR1,,
CR107W,"Plate, 7-1/4"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, white, NSF",CR1,,
CR107YW,"Plate, 7-1/4"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, yellow, NSF",CR1,,
CR109BU,"Plate, 9"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, purple, NSF",CR1,,
CR109GR,"Plate, 9"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, green, NSF",CR1,,
CR109PR,"Plate, 9"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, pure red, NSF",CR1,,
CR109RD,"Plate, 9"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, orange, NSF",CR1,,
CR109V,"Plate, 9"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, ivory, NSF",CR1,,
CR109W,"Plate, 9"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, white, NSF",CR1,,
CR109YW,"Plate, 9"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, yellow, NSF",CR1,,
CR110BU,"Plate, 10-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, purple, NSF",CR1,,
CR110GR,"Plate, 10-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, green, NSF",CR1,,
CR110PR,"Plate, 10-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, pure red, NSF",CR1,,
CR110RD,"Plate, 10-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, orange, NSF",CR1,,
CR110V,"Plate, 10-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, ivory, NSF",CR1,,
CR110W,"Plate, 10-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, white, NSF",CR1,,
CR110YW,"Plate, 10-1/2"" dia., round, narrow rim, break-resistant, dishwasher safe, BPA free,  melamine, yellow, NSF",CR1,,
CR209BU,"Platter, 9-1/2"" x 7-1/4"", oval, break-resistant, dishwasher safe, melamine, purple, BPA free, NSF",CR2,,
CR209GR,"Platter, 9-1/2"" x 7-1/4"", oval, break-resistant, dishwasher safe, melamine, green, BPA free, NSF",CR2,,
CR209PR,"Platter, 9-1/2"" x 7-1/4"", oval, break-resistant, dishwasher safe, melamine, pure red, BPA free, NSF",CR2,,
CR209RD,"Platter, 9-1/2"" x 7-1/4"", oval, break-resistant, dishwasher safe, melamine, orange, BPA free, NSF",CR2,,
CR209V,"Platter, 9-1/2"" x 7-1/4"", oval, break-resistant, dishwasher safe, melamine, ivory, BPA free, NSF",CR2,,
CR209W,"Platter, 9-1/2"" x 7-1/4"", oval, break-resistant, dishwasher safe, melamine, white, BPA free, NSF",CR2,,
CR209YW,"Platter, 9-1/2"" x 7-1/4"", oval, break-resistant, dishwasher safe, melamine, yellow, BPA free, NSF",CR2,,
CR212BU,"Platter, 12"" x 9"", oval, break-resistant, dishwasher safe, melamine, purple, BPA free, NSF",CR2,,
CR212GR,"Platter, 12"" x 9"", oval, break-resistant, dishwasher safe, melamine, green, BPA free, NSF",CR2,,
CR212PR,"Platter, 12"" x 9"", oval, break-resistant, dishwasher safe, melamine, pure red, BPA free, NSF",CR2,,
CR212RD,"Platter, 12"" x 9"", oval, break-resistant, dishwasher safe, melamine, orange, BPA free, NSF",CR2,,
CR212V,"Platter, 12"" x 9"", oval, break-resistant, dishwasher safe, melamine, ivory, BPA free, NSF",CR2,,
CR212W,"Platter, 12"" x 9"", oval, break-resistant, dishwasher safe, melamine, white, BPA free, NSF",CR2,,
CR212YW,"Platter, 12"" x 9"", oval, break-resistant, dishwasher safe, melamine, yellow, BPA free, NSF",CR2,,
CR213BU,"Platter, 13-1/2"" x 10-1/2"", oval, break-resistant, dishwasher safe, melamine, purple, BPA free, NSF",CR2,,
CR213GR,"Platter, 13-1/2"" x 10-1/2"", oval, break-resistant, dishwasher safe, melamine, green, BPA free, NSF",CR2,,
CR213PR,"Platter, 13-1/2"" x 10-1/2"", oval, break-resistant, dishwasher safe, melamine, pure red, BPA free, NSF",CR2,,
CR213RD,"Platter, 13-1/2"" x 10-1/2"", oval, break-resistant, dishwasher safe, melamine, orange, BPA free, NSF",CR2,,
CR213V,"Platter, 13-1/2"" x 10-1/2"", oval, break-resistant, dishwasher safe, melamine, ivory, BPA free, NSF",CR2,,
CR213W,"Platter, 13-1/2"" x 10-1/2"", oval, break-resistant, dishwasher safe, melamine, white, BPA free, NSF",CR2,,
CR213YW,"Platter, 13-1/2"" x 10-1/2"", oval, break-resistant, dishwasher safe, melamine, yellow, BPA free, NSF",CR2,,
CR303BU,"Bouillon Cup, 7 oz., 4"" dia., break-resistant, dishwasher safe, melamine, purple, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR303,,
CR303GR,"Bouillon Cup, 7 oz., 4"" dia., break-resistant, dishwasher safe, melamine, green, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR303,,
CR303PR,"Bouillon Cup, 7 oz., 4"" dia., break-resistant, dishwasher safe, melamine, pure red, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR303,,
CR303RD,"Bouillon Cup, 7 oz., 4"" dia., break-resistant, dishwasher safe, melamine, orange, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR303,,
CR303V,"Bouillon Cup, 7 oz., 4"" dia., break-resistant, dishwasher safe, melamine, ivory, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR303,,
CR303W,"Bouillon Cup, 7 oz., 4"" dia., break-resistant, dishwasher safe, melamine, white, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR303,,
CR303YW,"Bouillon Cup, 7 oz., 4"" dia., break-resistant, dishwasher safe, melamine, yellow, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR303,,
CR305BU,"Soup Bowl, 10 oz., 6-3/4"" x 4-1/4"" x 2"" deep, with handle, break-resistant, dishwasher safe, melamine, purple, BPA free, NSF",CR305,,
CR305GR,"Soup Bowl, 10 oz., 6-3/4"" x 4-1/4"" x 2"" deep, with handle, break-resistant, dishwasher safe, melamine, green, BPA free, NSF",CR305,,
CR305PR,"Soup Bowl, 10 oz., 6-3/4"" x 4-1/4"" x 2"" deep, with handle, break-resistant, dishwasher safe, melamine, pure red, BPA free, NSF",CR305,,
CR305RD,"Soup Bowl, 10 oz., 6-3/4"" x 4-1/4"" x 2"" deep, with handle, break-resistant, dishwasher safe, melamine, orange, BPA free, NSF",CR305,,
CR305V,"Soup Bowl, 10 oz., 6-3/4"" x 4-1/4"" x 2"" deep, with handle, break-resistant, dishwasher safe, melamine, ivory, BPA free, NSF",CR305,,
CR305W,"Soup Bowl, 10 oz., 6-3/4"" x 4-1/4"" x 2"" deep, with handle, break-resistant, dishwasher safe, melamine, white, BPA free, NSF",CR305,,
CR305YW,"Soup Bowl, 10 oz., 6-3/4"" x 4-1/4"" x 2"" deep, with handle, break-resistant, dishwasher safe, melamine, yellow, BPA free, NSF",CR305,,
CR313BU,"Bouillon Cup, 8 oz., 4-1/4"" dia., break-resistant, dishwasher safe, melamine, purple, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR31,,
CR313GR,"Bouillon Cup, 8 oz., 4-1/4"" dia., break-resistant, dishwasher safe, melamine, green, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR31,,
CR313PR,"Bouillon Cup, 8 oz., 4-1/4"" dia., break-resistant, dishwasher safe, melamine, pure red, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR31,,
CR313RD,"Bouillon Cup, 8 oz., 4-1/4"" dia., break-resistant, dishwasher safe, melamine, orange, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR31,,
CR313V,"Bouillon Cup, 8 oz., 4-1/4"" dia., break-resistant, dishwasher safe, melamine, ivory, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR31,,
CR313W,"Bouillon Cup, 8 oz., 4-1/4"" dia., break-resistant, dishwasher safe, melamine, white, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR31,,
CR313YW,"Bouillon Cup, 8 oz., 4-1/4"" dia., break-resistant, dishwasher safe, melamine, yellow, BPA free, NSF **For melamine Cups and Mugs; heat resistant temperature is up to 120 degree F.**",CR31,,
CR5044BU,"Salad Bowl, 4 oz., 4-3/4"" dia., break-resistant, dishwasher safe, melamine, purple, BPA free, NSF",CR50,,
CR5044GR,"Salad Bowl, 4 oz., 4-3/4"" dia., break-resistant, dishwasher safe, melamine, green, BPA free, NSF",CR50,,
CR5044PR,"Salad Bowl, 4 oz., 4-3/4"" dia., break-resistant, dishwasher safe, melamine, pure red, BPA free, NSF",CR50,,
CR5044RD,"Salad Bowl, 4 oz., 4-3/4"" dia., break-resistant, dishwasher safe, melamine, orange, BPA free, NSF",CR50,,
CR5044V,"Salad Bowl, 4 oz., 4-3/4"" dia., break-resistant, dishwasher safe, melamine, ivory, BPA free, NSF",CR50,,
CR5044W,"Salad Bowl, 4 oz., 4-3/4"" dia., break-resistant, dishwasher safe, melamine, white, BPA free, NSF",CR50,,
CR5044YW,"Salad Bowl, 4 oz., 4-3/4"" dia., break-resistant, dishwasher safe, melamine, yellow, BPA free, NSF",CR50,,
CR5077BU,"Salad Bowl, 8 oz., 7-3/4"" dia., wide rim, break-resistant, dishwasher safe, melamine, purple, BPA free, NSF",CR50,,
CR5077GR,"Salad Bowl, 8 oz., 7-3/4"" dia., wide rim, break-resistant, dishwasher safe, melamine, green",CR50,,
CR5077PR,"Salad Bowl, 8 oz., 7-3/4"" dia., wide rim, break-resistant, dishwasher safe, melamine, pure red, BPA free, NSF",CR50,,
CR5077RD,"Salad Bowl, 8 oz., 7-3/4"" dia., wide rim, break-resistant, dishwasher safe, melamine, orange, BPA free, NSF",CR50,,
CR5077V,"Salad Bowl, 8 oz., 7-3/4"" dia., wide rim, break-resistant, dishwasher safe, melamine, ivory, BPA free, NSF",CR50,,
CR5077W,"Salad Bowl, 8 oz., 7-3/4"" dia., wide rim, break-resistant, dishwasher safe, melamine, white, BPA free, NSF",CR50,,
CR5077YW,"Salad Bowl, 8 oz., 7-3/4"" dia., wide rim, break-resistant, dishwasher safe, melamine, yellow, BPA free, NSF",CR50,,
CR5510BU,"Soup Bowl, 10 oz., 5-1/2"" dia., break-resistant, dishwasher safe, melamine, purple, BPA free, NSF",CR55,,
CR5510GR,"Soup Bowl, 10 oz., 5-1/2"" dia., break-resistant, dishwasher safe, melamine, green, BPA free, NSF",CR55,,
CR5510PR,"Soup Bowl, 10 oz., 5-1/2"" dia., break-resistant, dishwasher safe, melamine, pure red, BPA free, NSF",CR55,,
CR5510RD,"Soup Bowl, 10 oz., 5-1/2"" dia., break-resistant, dishwasher safe, melamine, orange, BPA free, NSF",CR55,,
CR5510V,"Soup Bowl, 10 oz., 5-1/2"" dia., break-resistant, dishwasher safe, melamine, ivory, BPA free, NSF",CR55,,
CR5510W,"Soup Bowl, 10 oz., 5-1/2"" dia., break-resistant, dishwasher safe, melamine, white, BPA free, NSF",CR55,,
CR5510YW,"Soup Bowl, 10 oz., 5-1/2"" dia., break-resistant, dishwasher safe, melamine, yellow, BPA free, NSF",CR55,,
CR5608BU,"Salad Bowl, 8 oz., 6"" dia., break-resistant, dishwasher safe, melamine, purple, BPA free, NSF",CR56,,
CR5608GR,"Salad Bowl, 8 oz., 6"" dia., break-resistant, dishwasher safe, melamine, green, BPA free, NSF",CR56,,
CR5608PR,"Salad Bowl, 8 oz., 6"" dia., break-resistant, dishwasher safe, melamine, pure red, BPA free, NSF",CR56,,
CR5608RD,"Salad Bowl, 8 oz., 6"" dia., break-resistant, dishwasher safe, melamine, orange, BPA free, NSF",CR56,,
CR5608V,"Salad Bowl, 8 oz., 6"" dia., break-resistant, dishwasher safe, melamine, ivory, BPA free, NSF",CR56,,
CR5608W,"Salad Bowl, 8 oz., 6"" dia., break-resistant, dishwasher safe, melamine, white, BPA free, NSF",CR56,,
CR5608YW,"Salad Bowl, 8 oz., 6"" dia., break-resistant, dishwasher safe, melamine, yellow, BPA free, NSF",CR56,,
CR5712BU,"Soup Bowl, 15 oz., 7-1/4"" dia., break-resistant, dishwasher safe, melamine, purple, BPA free, NSF",CR57,,
